"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_G1"," -21737","  -9709","  -7948","  -4844","   -654"," 10010"," 20589"," 26144","  59447","   3236","0.54","0","0.464"
"y.cashflow_G2"," -20067","  -9520","  -7711","  -4566","   -334"," 10707"," 20377"," 26100","  62100","   3622","0.52","0","0.483"
"y.cashflow_G3"," -20780","  -9421","  -7683","  -4578","   -273"," 10551"," 20796"," 26572","  67974","   3656","0.51","0","0.486"
"y.cashflow_G4"," -19628","  -9526","  -7694","  -4455","   -259"," 10893"," 20803"," 26307","  53546","   3681","0.51","0","0.488"
"y.cashflow_G5"," -24505","  -9464","  -7660","  -4506","   -307"," 10670"," 20958"," 27035","  56979","   3722","0.52","0","0.483"
"y.cashflow_G6"," -22495","  -9479","  -7736","  -4670","   -473","  9941"," 20601"," 26824","  58856","   3388","0.53","0","0.472"
"y.cashflow_G7"," -19940","  -9520","  -7768","  -4651","   -369"," 10531"," 20690"," 26188","  64585","   3509","0.52","0","0.480"
"y.cashflow_G8"," -21141","  -9660","  -7824","  -4706","   -472"," 10340"," 20835"," 26338","  69900","   3481","0.53","0","0.473"
"y.cashflow_G9"," -25428","  -9559","  -7797","  -4608","   -363"," 10405"," 20638"," 26532","  58620","   3553","0.52","0","0.483"
"y.cashflow_G10"," -20529","  -9517","  -7837","  -4738","   -552"," 10435"," 20554"," 26267","  61654","   3441","0.53","0","0.471"
"y.NPV_G","-131003"," -61281"," -42928"," -11553","  23934"," 67366","113588","143975"," 322594","  31139","0.33","0","0.670"
"y.cashflow_I1"," -49412"," -23630"," -20047"," -13475","  -2779"," 36889"," 65738"," 81575"," 178395","  12831","0.54","0","0.461"
"y.cashflow_I2"," -45753"," -23206"," -19578"," -12914","  -2013"," 37399"," 65172"," 82620"," 185650","  13529","0.53","0","0.474"
"y.cashflow_I3"," -48617"," -23119"," -19570"," -12881","  -1721"," 37939"," 65883"," 81387"," 170148","  13601","0.52","0","0.478"
"y.cashflow_I4"," -44727"," -23092"," -19754"," -13036","  -1654"," 38059"," 66120"," 82485"," 178383","  13769","0.52","0","0.481"
"y.cashflow_I5"," -49551"," -23363"," -19472"," -12910","  -1642"," 37922"," 65672"," 81905"," 169765","  13789","0.52","0","0.479"
"y.cashflow_I6"," -40372"," -23438"," -19605"," -13019","  -2382"," 35937"," 64764"," 80237"," 177987","  12770","0.53","0","0.469"
"y.cashflow_I7"," -46799"," -23278"," -19509"," -12813","  -2190"," 36784"," 65403"," 80640"," 176780","  13103","0.53","0","0.470"
"y.cashflow_I8"," -43939"," -23651"," -19805"," -13125","  -2191"," 36553"," 65951"," 81841"," 198079","  13128","0.53","0","0.465"
"y.cashflow_I9"," -44051"," -23142"," -19422"," -12845","  -1980"," 36871"," 64839"," 80081"," 168598","  13205","0.53","0","0.473"
"y.cashflow_I10"," -45021"," -23684"," -19703"," -13041","  -2174"," 36213"," 64309"," 80967"," 175064","  12857","0.53","0","0.470"
"y.NPV_I","-316483","-127127"," -84699","  -7575","  94983","216358","351583","433430","1112458"," 117104","0.27","0","0.732"
"y.cashflow_S1","-182836","-117228","-105116"," -86775"," -65978","-43762","-23922","-11842","  72027"," -65072","0.97","0","0.025"
"y.cashflow_S2"," -65136"," -33919"," -28811"," -19858","  -9396","  3251"," 22059"," 34173"," 118035","  -6167","0.70","0","0.300"
"y.cashflow_S3"," -78076"," -33731"," -28756"," -19653","  -9263","  3211"," 21552"," 33778"," 113635","  -6245","0.70","0","0.300"
"y.cashflow_S4"," -71586"," -33674"," -28825"," -19613","  -9043","  3842"," 22882"," 34572"," 120557","  -5899","0.69","0","0.308"
"y.cashflow_S5"," -70097"," -33739"," -28705"," -19846","  -9254","  3392"," 22590"," 34295"," 102176","  -6036","0.70","0","0.304"
"y.cashflow_S6"," -69509"," -33804"," -28719"," -19780","  -9551","  2848"," 21199"," 34098"," 122898","  -6440","0.70","0","0.295"
"y.cashflow_S7"," -76160"," -33713"," -28518"," -19760","  -9268","  2742"," 20239"," 31980"," 105717","  -6516","0.71","0","0.295"
"y.cashflow_S8"," -65827"," -33575"," -28238"," -19520","  -9253","  2763"," 20517"," 32281"," 122058","  -6433","0.71","0","0.295"
"y.cashflow_S9"," -63198"," -34061"," -28686"," -19832","  -9316","  3281"," 22212"," 33880","  96401","  -6186","0.70","0","0.303"
"y.cashflow_S10"," -72837"," -33730"," -28595"," -19811","  -9499","  3232"," 21979"," 33914","  95198","  -6171","0.70","0","0.298"
"y.NPV_S","-685070","-328262","-283475","-204492","-117831","-27762"," 58884","118639"," 756778","-113737","0.81","0","0.187"
"y.comp_NPV_IG","-427216","-163962","-115658"," -32006","  69405","186215","311991","391325","1015818","  85965","0.32","0","0.677"
"y.comp_NPV_SG","-653039","-375390","-323783","-239292","-146639","-51450"," 33804"," 89786"," 479198","-144875","0.85","0","0.149"
